url,pagerank,ic_giris,orphan
https://gelecekfinans.com/kripto,0.06461,29,
https://gelecekfinans.com/altin,0.06396,29,
https://gelecekfinans.com/doviz,0.06375,29,
https://gelecekfinans.com/borsa,0.0635,29,
https://gelecekfinans.com/arsiv,0.0629,29,
https://gelecekfinans.com/rehber,0.0629,29,
https://gelecekfinans.com/hakkimizda,0.0629,29,
https://gelecekfinans.com/yayincilik-ilkeleri,0.0629,29,
https://gelecekfinans.com/iletisim,0.0629,29,
https://gelecekfinans.com/gizlilik-politikasi,0.0629,29,
https://gelecekfinans.com/kullanim-kosullari,0.0629,29,
https://gelecekfinans.com/faiz,0.0629,29,
https://gelecekfinans.com/araclar,0.0629,29,
https://gelecekfinans.com/doviz/usd-try,0.01633,17,
https://gelecekfinans.com/kripto/bitcoin,0.01082,8,
https://gelecekfinans.com/kripto/ethereum,0.01082,8,
https://gelecekfinans.com/kripto/tether,0.01082,8,
https://gelecekfinans.com/kripto/bnb,0.01082,8,
https://gelecekfinans.com/kripto/solana,0.01082,8,
https://gelecekfinans.com/kripto/xrp,0.01082,8,
https://gelecekfinans.com/kripto/cardano,0.01051,7,
https://gelecekfinans.com/doviz/eur-try,0.01011,3,
https://gelecekfinans.com/doviz/gbp-try,0.01011,3,
https://gelecekfinans.com/altin/gram-altin,0.00988,4,
https://gelecekfinans.com/altin/ceyrek-altin,0.00988,4,
https://gelecekfinans.com/altin/cumhuriyet-altini,0.00988,4,
https://gelecekfinans.com/altin/ons,0.00988,4,
https://gelecekfinans.com/borsa/bist-100,0.00939,2,
https://gelecekfinans.com/borsa/thyao,0.00939,2,
https://gelecekfinans.com/kripto/dogecoin,0.00775,1,
